iter	Passed	Remaining
942	71800	689607
943	71877	689532
944	71953	689463
945	72028	689369
946	72102	689276
947	72182	689232
948	72259	689164
949	72334	689077
950	72409	688991
951	72485	688912
952	72560	688831
953	72635	688739
954	72711	688665
955	72787	688588
956	72863	688514
957	72939	688430
958	73015	688359
959	73093	688300
960	73167	688205
961	73241	688106
962	73316	688013
963	73399	688006
964	73477	687948
965	73555	687885
966	73634	687840
967	73708	687746
968	73782	687648
969	73855	687543
970	73930	687451
971	74006	687374
972	74081	687289
973	74157	687213
974	74238	687178
975	74315	687116
976	74392	687048
977	74481	687083
978	74558	687016
979	74635	686947
980	74709	686855
981	74783	686756
982	74858	686668
983	74934	686598
984	75012	686538
985	75087	686446
986	75164	686380
987	75239	686295
988	75315	686220
989	75391	686137
990	75472	686108
991	75547	686024
992	75624	685948
993	75698	685855
994	75772	685764
995	75848	685684
996	75924	685606
997	76000	685526
998	76082	685507
999	76155	685401
1000	76229	685303
1001	76303	685206
1002	76378	685119
1003	76460	685101
1004	76543	685082
1005	76619	685006
1006	76695	684929
1007	76771	684852
1008	76847	684775
1009	76924	684699
1010	76997	684603
1011	77073	684519
1012	77149	684448
1013	77225	684367
1014	77299	684270
1015	77375	684195
1016	77451	684119
1017	77537	684125
1018	77613	684046
1019	77689	683967
1020	77764	683886
1021	77838	683790
1022	77914	683710
1023	77987	683610
1024	78062	683523
1025	78138	683446
1026	78214	683366
1027	78290	683290
1028	78369	683240
1029	78445	683165
1030	78530	683160
1031	78611	683127
1032	78687	683053
1033	78762	682961
1034	78838	682883
1035	78912	682793
1036	78987	682704
1037	79061	682613
1038	79137	682536
1039	79213	682451
1040	79287	682358
1041	79362	682272
1042	79436	682179
1043	79510	682086
1044	79594	682071
1045	79668	681982
1046	79744	681899
1047	79819	681813
1048	79892	681713
1049	79964	681605
1050	80039	681514
1051	80115	681442
1052	80193	681380
1053	80272	681323
1054	80349	681254
1055	80426	681191
1056	80500	681090
1057	80586	681096
1058	80662	681018
1059	80739	680953
1060	80814	680870
1061	80895	680829
1062	80970	680750
1063	81052	680716
1064	81127	680633
1065	81201	680541
1066	81276	680452
1067	81351	680366
1068	81426	680282
1069	81500	680188
1070	81574	680095
1071	81653	680043
1072	81728	679951
1073	81804	679873
1074	81881	679806
1075	81958	679734
1076	82037	679687
1077	82111	679593
1078	82186	679503
1079	82262	679424
1080	82336	679334
1081	82412	679251
1082	82490	679194
1083	82567	679126
1084	82645	679063
1085	82721	678985
1086	82797	678907
1087	82873	678831
1088	82948	678743
1089	83025	678674
1090	83099	678585
1091	83175	678507
1092	83249	678412
1093	83325	678336
1094	83410	678326
1095	83487	678258
1096	83564	678191
1097	83646	678164
1098	83724	678098
1099	83797	678000
1100	83872	677911
1101	83948	677831
1102	84024	677759
1103	84101	677684
1104	84177	677605
1105	84250	677510
1106	84325	677419
1107	84400	677340
1108	84476	677260
1109	84549	677155
1110	84624	677069
1111	84703	677019
1112	84780	676947
1113	84860	676900
1114	84936	676825
1115	85012	676744
1116	85086	676658
1117	85163	676584
1118	85239	676507
1119	85314	676419
1120	85388	676331
1121	85466	676264
1122	85547	676231
1123	85622	676144
1124	85709	676154
1125	85785	676077
1126	85860	675992
1127	85936	675910
1128	86019	675886
1129	86092	675790
1130	86172	675739
1131	86246	675652
1132	86320	675557
1133	86397	675481
1134	86473	675404
1135	86550	675335
1136	86626	675260
1137	86715	675287
1138	86791	675202
1139	86869	675141
1140	86944	675055
1141	87017	674957
1142	87092	674871
1143	87167	674783
1144	87243	674710
1145	87319	674627
1146	87393	674537
1147	87469	674456
1148	87545	674383
1149	87621	674304
1150	87696	674216
1151	87775	674162
1152	87849	674068
1153	87924	673986
1154	88002	673924
1155	88080	673863
1156	88155	673773
1157	88230	673690
1158	88304	673595
1159	88377	673500
1160	88452	673414
1161	88528	673337
1162	88604	673253
1163	88680	673176
1164	88774	673238
1165	88849	673152
1166	88924	673064
1167	89000	672990
1168	89075	672905
1169	89151	672830
1170	89226	672741
1171	89302	672663
1172	89379	672591
1173	89454	672508
1174	89532	672446
1175	89608	672368
1176	89684	672293
1177	89770	672289
1178	89850	672238
1179	89926	672165
1180	90003	672091
1181	90082	672038
1182	90159	671965
1183	90237	671903
1184	90313	671827
1185	90387	671736
1186	90461	671644
1187	90537	671562
1188	90613	671481
1189	90686	671385
1190	90761	671302
1191	90847	671297
1192	90927	671245
1193	91007	671195
1194	91081	671104
1195	91154	671003
1196	91229	670924
1197	91307	670858
1198	91382	670776
1199	91458	670692
1200	91532	670601
1201	91606	670509
1202	91681	670425
1203	91757	670350
1204	91844	670350
1205	91919	670262
1206	91994	670178
1207	92067	670083
1208	92144	670011
1209	92221	669939
1210	92300	669883
1211	92377	669813
1212	92454	669742
1213	92529	669655
1214	92604	669570
1215	92680	669498
1216	92758	669430
1217	92842	669410
1218	92917	669323
1219	92991	669234
1220	93067	669155
1221	93142	669072
1222	93217	668988
1223	93293	668908
1224	93368	668822
1225	93445	668749
1226	93520	668665
1227	93594	668575
1228	93669	668492
1229	93742	668393
1230	93816	668296
1231	93898	668266
1232	93976	668201
1233	94052	668125
1234	94128	668043
1235	94201	667947
1236	94277	667867
1237	94353	667789
1238	94430	667722
1239	94507	667649
1240	94581	667554
1241	94655	667468
1242	94730	667383
1243	94805	667298
1244	94887	667264
1245	94961	667168
1246	95034	667073
1247	95109	666983
1248	95183	666897
1249	95259	666819
1250	95337	666751
1251	95413	666677
1252	95488	666588
1253	95564	666509
1254	95639	666425
1255	95713	666339
1256	95789	666259
1257	95863	666170
1258	95953	666185
1259	96026	666087
1260	96101	666002
1261	96175	665913
1262	96249	665822
1263	96326	665748
1264	96401	665667
1265	96479	665602
1266	96555	665526
1267	96630	665436
1268	96707	665371
1269	96786	665312
1270	96865	665254
1271	96942	665187
1272	97019	665112
1273	97094	665031
1274	97170	664952
1275	97244	664862
1276	97319	664774
1277	97394	664689
1278	97468	664597
1279	97541	664499
1280	97623	664461
1281	97701	664400
1282	97775	664307
1283	97849	664214
1284	97934	664201
1285	98011	664129
1286	98085	664040
1287	98161	663963
1288	98237	663886
1289	98312	663796
1290	98388	663724
1291	98463	663634
1292	98536	663540
1293	98612	663461
1294	98691	663405
1295	98765	663312
1296	98838	663219
1297	98914	663136
1298	98994	663089
1299	99069	663005
1300	99142	662907
1301	99219	662833
1302	99296	662762
1303	99371	662681
